county,Name,reg_desig,esr,Cong_Dist,add,urban_rura,ck_name,f_area,Sum_POP200,Sum_HOUSEH,arc,rurilec,distressed,totalhh,pop2000,popden2000,hhpct_0401,hhpct_0501,hhpct_0601,hhpct_0701,hhpct_0801,hhpct_0807,chnghhpct,samp05,samp07,adopt05,adopt07,adptchng,awareck05,noneed05,noneed07,medhhinc,perwhite,college,unemp,medage
149,McLean,Distressed DRA,The Owensboro - Henderson Area,Congressional District 1,Green River Area Development District,SUBURBAN,McLean County,7140657760,9938,3984,0,0,1,3984,13021,52.8,0.004,0.622,0.622,0.683,0.757,0.926,212.957,87,88,0.381,0.658,0.726,0.331,0.124,0.274,36.8,0.862,0.26,0.012,43.7
203,Rockcastle,ARC,The Cumberland Area,Congressional District 5,Cumberland Valley Area Development District,RURAL,Rockcastle County,8865840467,16582,6544,1,0,0,6544,12912,40.6,0.105,0.414,0.637,0.834,0.855,0.855,7.153,87,85,0.149,0.266,0.783,0.148,0.284,0.25,33.5,0.895,0.171,0.012,46.4
153,Magoffin,Distressed ARC,The Mountain Area,Congressional District 5,Big Sandy Area Development District,RURAL,Magoffin County,8624326868,13332,5024,1,1,1,5024,12678,29.4,0.8,0.935,0.967,1,1,1,0.25,89,85,0.134,0.343,1.555,0.207,0.1,0.386,22.5,0.805,0.12,0.077,43.4
213,Simpson,N/A,The Bowling Green - Hopkinsville Area,Congressional District 1,Barren River Area Development District,RURAL,Simpson County,6589694844,16405,6415,0,0,0,6415,12628,53.4,0.675,0.697,0.698,0.738,0.793,0.793,0.175,86,85,0.249,0.411,0.647,0.229,0.219,0.21,36.7,0.792,0.228,0.046,42.7
079,Garrard,ARC,The Lexington Area,Congressional District 6,Bluegrass Area Development District,RURAL,Garrard County,6520340442,14792,5741,1,0,0,5741,12521,53.5,0.128,0.677,0.782,0.796,0.886,0.887,5.929,89,85,0.219,0.381,0.742,0.147,0.207,0.126,39.3,0.898,0.264,0.032,45.5
127,Lawrence,Distressed ARC,The Ashland Area,Congressional District 5,FIVCO Area Development District,RURAL,Lawrence County,1.1712e+10,15569,5954,1,1,1,5954,12333,29.4,0.822,0.929,0.951,0.988,0.988,0.988,0.203,87,85,0.197,0.376,0.906,0.171,0,0.323,25.2,0.916,0.119,0.038,46.1
045,Casey,Distressed ARC,The Cumberland Area,Congressional District 1,Lake Cumberland Area Development District,RURAL,Casey County,1.2427e+10,15447,6260,1,0,1,6260,12316,27.6,0.025,0.264,0.487,0.652,0.801,0.813,30.958,90,85,0.135,0.304,1.247,0.226,0.161,0.262,25.9,0.92,0.041,0.055,47
025,Breathitt,Distressed ARC,The Mountain Area,Congressional District 5,Kentucky River Area Development District,RURAL,Breathitt County,1.3805e+10,16100,6170,1,0,1,6170,12239,24.7,0.332,0.365,0.396,0.449,0.498,0.498,0.503,90,85,0.132,0.215,0.629,0.211,0.139,0.213,29.2,0.936,0.279,0.075,46.1
103,Henry,N/A,The Louisville Area,Congressional District 4,KIPDA Area Development District,SUBURBAN,Henry County,8101461619,15060,5844,0,0,0,5844,11917,41,0.472,0.727,0.727,0.753,0.796,0.8,0.695,88,85,0.201,0.327,0.624,0.198,0.091,0.194,42.8,0.887,0.238,0.044,46.7
225,Union,Distressed DRA,The Owensboro - Henderson Area,Congressional District 1,Green River Area Development District,RURAL,Union County,1.013e+10,15637,5710,0,0,1,5710,11900,32.8,0.641,0.67,0.726,0.779,0.796,0.796,0.242,87,85,0.145,0.26,0.797,0.279,0.185,0.238,41.8,0.889,0.212,0.032,46.2
065,Estill,Distressed ARC,The Mountain Area,Congressional District 6,Bluegrass Area Development District,RURAL,Estill County,7122784518,15307,6108,1,0,1,6108,11631,45.5,0.381,0.713,0.792,0.824,0.824,0.824,1.162,89,85,0.259,0.551,1.131,0.201,0.055,0.273,30.3,0.864,0.147,0.079,45.1
175,Morgan,ARC,The Mountain Area,Congressional District 5,Gateway Area Development District,RURAL,Morgan County,1.0695e+10,13948,4752,1,1,0,4752,11421,29.8,0.803,0.902,0.952,1,1,1,0.246,89,85,0.186,0.385,1.076,0.259,0.379,0.218,28.2,0.859,0.197,0.019,41.2
191,Pendleton,N/A,The Northern Kentucky Area,Congressional District 4,Northern Kentucky Area Development District,SUBURBAN,Pendleton County,7862337404,14390,5170,0,0,0,5170,11179,39.6,0.436,0.455,0.468,0.737,0.905,0.905,1.078,89,85,0.169,0.289,0.713,0.222,0.223,0.102,42.1,0.883,0.223,0.032,42.5
215,Spencer,N/A,The Louisville Area,Congressional District 2,KIPDA Area Development District,SUBURBAN,Spencer County,5345010564,11766,4251,0,0,0,4251,11062,57.7,0.542,0.646,0.652,0.755,0.858,0.939,0.732,90,85,0.341,0.52,0.526,0.217,0.157,0.254,47,0.897,0.278,0.02,41.9
069,Fleming,ARC,The Northern Kentucky Area,Congressional District 4,Buffalo Trace Area Development District,RURAL,Fleming County,9793540160,13792,5367,0,0,0,5367,11025,31.4,0.106,0.816,0.88,0.916,0.916,0.916,7.659,90,86,0.226,0.422,0.868,0.184,0.149,0.336,36.5,0.967,0.201,0.009,46.6
233,Webster,Distressed DRA,The Owensboro - Henderson Area,Congressional District 1,Green River Area Development District,SUBURBAN,Webster County,9354133390,14120,5560,0,0,1,5560,10860,32.4,0.466,0.71,0.723,0.831,0.846,0.846,0.816,89,85,0.204,0.333,0.632,0.222,0.19,0.153,41.1,0.903,0.194,0.01,47.2
135,Lewis,Distressed ARC,The Ashland Area,Congressional District 4,Buffalo Trace Area Development District,SMALL METRO,Lewis County,1.3819e+10,13859,5306,1,0,1,5306,10644,21.5,0.016,0.51,0.543,0.544,0.746,0.746,44.606,89,86,0.204,0.394,0.934,0.166,0.147,0.23,32.4,0.882,0.123,0.038,46.9
221,Trigg,DRA,The Bowling Green - Hopkinsville Area,Congressional District 1,Pennyrile Area Development District,SUBURBAN,Trigg County,1.3399e+10,12579,5205,0,0,0,5205,10380,21.6,0.447,0.638,0.652,0.728,0.84,0.842,0.884,88,85,0.317,0.529,0.668,0.274,0.198,0.175,40.5,0.86,0.257,0.034,43.8
123,Larue,N/A,The Louisville Area,Congressional District 2,Lincoln Trail Area Development District,SUBURBAN,Larue County,7353611716,13373,5275,0,0,0,5275,10377,39.3,0.474,0.834,0.882,0.898,0.934,0.935,0.972,88,85,0.338,0.633,0.875,0.191,0.267,0.083,35.1,0.857,0.175,0.01,48
